Feature ID,Feature Importance
Scrap_7_5%,37.385%
P0_RIGHT_PROXIMAL,7.683%
P0_RIGHT_DISTAL,7.301%
P0_LEFT_PROXIMAL,5.802%
P0_LEFT_MIDDLE,5.512%
P0.05_RIGHT_MIDDLE,4.540%
P0.05_LEFT_PROXIMAL,4.420%
P0.75_LEFT_DISTAL,4.074%
P0_RIGHT_MIDDLE,2.600%
P1_RIGHT_DISTAL,2.507%
P1_LEFT_MIDDLE,2.251%
P1_LEFT_DISTAL,2.209%
P0.05_RIGHT_DISTAL,2.076%
P0.05_LEFT_MIDDLE,2.014%
P1_LEFT_PROXIMAL,1.730%
P1_RIGHT_MIDDLE,1.696%
P0.25_LEFT_DISTAL,1.596%
P0.05_RIGHT_PROXIMAL,1.315%
P1_RIGHT_PROXIMAL,1.224%
P0_LEFT_DISTAL,1.096%
P0.05_LEFT_DISTAL,0.959%
