vendor_batch,Vendor_Yield,Final_yield,Yield_O_OMNI_FIRST_DISTAL,Yield_O_OMNI_FILAR_WRAPPING,Yield_O_OMNI_PAM_APPLICATION,Yield_O_OMNI_PAM_INSPECTION,Yield_O_OMNI_MECHANICAL_CON,Yield_O_OMNI_ELECTRICAL_CON,Yield_O_OMNI_INS_GAP_FILLING,Yield_O_OMNI_DISPENSER_COIL,Yield_O_OMNI_SMARTCALELITE_TEST_FG,Yield_O_OMNI_DRIFTELITE_TEST_FG,Yield_O_OMNI_OFFSET_TEST,Yield_O_OMNI_MASKING,Yield_O_OMNI_HYDROPHILIC_COATING,Yield_O_OMNI_UNMASKING,Yield_O_OMNI_FINAL_INSP,Yield_O_OMNI_TRAYPREP_ FINAL_TEST,Yield_O_UNILABEL_PRINTING,Yield_O_POUCHING,Yield_O_SECOND_VERIFICATION_PACKAGING
523229-8,0.8844,0.5594696968880976,0.9952748072618751,0.9779211113867526,0.996703018006594,0.9687261632341724,0.9806485355648535,0.9657188413499868,0.9958723170060539,0.9928414096916299,0.8871724137931034,0.9024238657551275,0.9858815426997245,0.9940621725462802,0.9919776770143006,0.9947257383966245,0.9402193137601698,0.9424379232505643,0.9893364928909952,0.9960364645263575,0.9404852160727825
523288-06,0.3794,0.6831247447549496,0.9962264150943396,0.9887640449438202,0.9886363636363636,0.9616858237547893,0.9880478087649402,0.9435483870967742,0.9957264957264957,0.9914529914529915,0.9353448275862069,0.9585253456221198,0.9855769230769231,0.9902439024390244,1.0,0.9950738916256158,0.9603960396039604,0.979381443298969,0.9815668202764977,0.9859154929577465,1.0
523288-08,0.3532,0.4870159624695742,0.9538461538461539,0.978494623655914,1.0,0.967032967032967,0.9886363636363636,0.9310344827586207,1.0,0.9878048780487805,0.9135802469135802,0.9121621621621622,1.0,0.9777777777777777,1.0,1.0,0.946969696969697,0.984,0.8385093167701864,0.9703703703703703,0.9606299212598425
523288-09,0.4531,0.6646962693357598,0.9868421052631579,0.9777777777777777,0.9954545454545455,0.9817351598173516,0.9953488372093023,0.9766355140186916,1.0,0.9952380952380953,0.9282296650717703,0.8814432989690721,0.9766081871345029,0.9760479041916168,1.0,0.9938650306748467,0.9875,0.9873417721518988,0.9828571428571429,1.0,0.9808917197452229
523288-10,0.3174,0.5896142616023359,1.0,0.9590909090909091,0.995260663507109,0.9714285714285714,0.9710144927536232,0.9751243781094527,0.9897959183673469,0.9845360824742269,0.8848167539267016,0.9230769230769231,0.9935897435897436,0.9870967741935484,1.0,0.9869281045751634,0.9271523178807947,0.9857142857142858,0.9872611464968153,0.9870967741935484,0.9787234042553191
523288-11,0.374,0.5594646003663618,0.9848484848484849,0.9897435897435898,0.9896373056994818,0.9214659685863874,0.9659090909090909,0.9529411764705882,1.0,0.9877300613496932,0.906832298136646,0.8698630136986302,0.9921259842519685,0.9841269841269841,1.0,1.0,0.967479674796748,0.9831932773109243,0.9767441860465116,0.9841269841269841,0.9830508474576272
523297-09,0.5771,0.49303971722830775,0.9171779141104295,0.98,0.9965986394557823,0.9421768707482994,0.9647887323943662,0.9671532846715328,1.0,0.9887640449438202,0.8901515151515151,0.9106382978723404,0.985981308411215,0.985781990521327,1.0,1.0,0.9134615384615384,0.968421052631579,0.9282296650717703,1.0,0.9787234042553191
523297-10,0.6737,0.5637315652756163,0.9873417721518988,0.9923076923076923,0.9871134020618557,0.95822454308094,0.9945504087193461,0.9619565217391305,0.988795518207283,0.9971671388101983,0.8892045454545454,0.8945686900958466,0.9678571428571429,0.992619926199262,0.9853479853479854,1.0,0.914179104477612,0.9714285714285714,0.9848484848484849,1.0,0.9791666666666666
523297-11,0.3471,0.5510979966813101,1.0,0.9714285714285714,1.0,0.9477124183006536,0.9689655172413794,0.9572953736654805,1.0,0.9889705882352942,0.9107806691449815,0.864,0.9724770642201835,0.9952830188679245,1.0,1.0,0.9095238095238095,0.9738219895287958,0.9813084112149533,0.9857142857142858,1.0
523297-12,0.8159,0.6028935890962308,0.9788519637462235,0.9814814814814815,1.0,0.9685534591194969,0.9838187702265372,0.9609120521172638,0.9966101694915255,0.9932203389830508,0.9249146757679181,0.9120879120879121,0.9598393574297188,0.9916317991631799,1.0,0.9957805907172996,0.9322033898305084,0.990909090909091,0.9918367346938776,0.9758064516129032,0.968609865470852
523297-8,0.6389,0.5255290552887938,0.9673405909797823,0.9560439560439561,0.9917898193760263,0.9784768211920529,0.9932546374367622,0.9728353140916808,0.9982547993019197,0.9982517482517482,0.9120689655172414,0.8907721280602636,0.9788583509513742,0.9935205183585313,1.0,0.9956521739130435,0.9323144104803494,0.9742388758782201,0.9797979797979798,0.9489194499017681,0.9153674832962138
523298-01,0.5344,0.5753988589960685,0.9856759176365264,0.9614003590664273,0.9981325863678805,0.971000935453695,0.9846301633045149,0.9554695062923524,0.9919354838709677,0.9888663967611336,0.9222108495394064,0.8669623059866962,0.9987212276214834,0.9846350832266325,1.0,0.9973992197659298,0.940026075619296,0.9792817679558011,0.9847222222222223,0.9876203576341128,0.967032967032967
523298-09,0.2564,0.542422477457801,0.9824561403508771,0.9288702928870293,1.0,0.972972972972973,0.9815668202764977,0.9671361502347418,1.0,0.9903846153846154,0.8932038834951457,0.907608695652174,0.9580838323353293,0.99375,1.0,1.0,0.9622641509433962,0.961038961038961,0.9651162790697675,0.9822485207100592,0.9602649006622517
523298-10,0.6519,0.5770016743999901,0.9630225080385852,0.9704433497536946,0.9983079526226735,0.964406779661017,0.9825174825174825,0.9786476868327402,0.9909584086799277,0.9945454545454545,0.923217550274223,0.904950495049505,0.9715536105032823,0.9887387387387387,0.9932126696832579,0.9977220956719818,0.9160997732426304,0.9801980198019802,0.9862700228832952,0.9930394431554525,0.9675
523298-2,0.5252,0.5975840970997573,0.9958333333333333,0.951417004048583,0.9914893617021276,0.9570815450643777,0.9820627802690582,0.9360730593607306,0.9951219512195122,1.0,0.9215686274509803,0.8882978723404256,1.0,1.0,1.0,1.0,0.9341317365269461,0.9807692307692307,0.9877300613496932,0.9937888198757764,0.9869281045751634
523298-3,0.6099,0.5950010217267412,0.9883449883449883,0.9653579676674365,1.0,0.954653937947494,0.9777227722772277,0.959493670886076,1.0,0.9947229551451188,0.9442970822281167,0.9129213483146067,0.9723076923076923,0.9936708860759493,0.9720496894409938,0.9968051118210862,0.9230769230769231,0.9826388888888888,0.9871382636655949,0.996742671009772,0.9719298245614035
523860-01,0.876,0.5734035944796838,0.9070631970260223,0.9959016393442623,0.9958847736625515,0.9628099173553719,0.9785407725321889,0.9605263157894737,1.0,0.9954337899543378,0.9036697247706422,0.9543147208121827,0.9946808510638298,0.9946524064171123,1.0,0.989247311827957,0.9402173913043478,0.976878612716763,0.9597989949748744,0.9790575916230366,0.9712643678160919
523860-04,0.8335,0.5306441939189398,0.9937888198757764,0.95625,1.0,0.9607843137254902,0.9863945578231292,0.9655172413793104,1.0,0.9929078014184397,0.8928571428571429,0.864,0.9722222222222222,0.9714285714285714,1.0,0.9803921568627451,0.9,0.9777777777777777,0.989010989010989,1.0,0.9886363636363636
523860-10,0.869,0.4971589048974589,0.9876543209876543,0.9916666666666667,1.0,0.9747899159663865,0.9423868312757202,0.9650655021834061,0.995475113122172,0.9818181818181818,0.8842592592592593,0.8888888888888888,0.9875,0.9171597633136095,0.9935483870967742,0.9790209790209791,0.9071428571428571,1.0,0.9539473684210527,0.9931506849315068,0.984375
