Vendor_Batch,vendor_yield,O_SECOND_VERIFICATION_PACKAGING_yield_out,O_VERIFICATION_OTE_LABEL_yield_out,O_VERIFICATION_INSPECTION_PROCESS_yield_out,O_OMNI_PAM_APPLICATION_yield_out,O_OMNI_FILAR_WRAPPING_yield_out,O_OMNI_FIRST_DISTAL_yield_out,O_OMNI_DHR_PREP_yield_out,O_POUCHING_yield_out,O_DC_DIAGNOSE_yield_out,O_BCCP_POUCH_yield_out,O_BCCP_PROD_VAL_yield_out,O_UNILABEL_PRINTING_yield_out,O_SECOND_VERIFICATION_POUCHING_yield_out,O_BCCP_PACKAGING_yield_out,O_QFI_AUDITING_yield_out,O_PACKAGING_yield_out,O_POST_STERILE_yield_out,O_PRE_STERILE_yield_out,O_OTE_LABEL_yield_out,O_OMNI_FINAL_INSP_yield_out,O_OMNI_HYDROPHILIC_COATING_yield_out,O_OMNI_MASKING_yield_out,O_OMNI_DRIFTELITE_TEST_FG_yield_out,O_OMNI_UNMASKING_yield_out,O_OMNI_JTIP_SHAPING_yield_out,O_OMNI_SMARTCALELITE_TEST_FG_yield_out,O_OMNI_DISPENSER_COIL_yield_out,O_OMNI_INS_GAP_FILLING_yield_out,O_OMNI_ELECTRICAL_CON_yield_out,O_OMNI_TRAYPREP_ FINAL_TEST_yield_out,O_OMNI_PAM_INSPECTION_yield_out,O_OMNI_MECHANICAL_CON_yield_out,O_STERILIZATION_yield_out,O_OMNI_OFFSET_TEST_yield_out,O_MFG_REVIEW_yield_out,O_REPRINT_RECONCILIATION_yield_out,O_REPRINT_VARSITY_UNILABEL_yield_out,O_REPRINT_OMNI_DISPENSER_yield_out,O_REPRINT_OMNI_CAR_yield_out,O_REPRINT_UNILABEL_yield_out,O_PREP_RANCHO_yield_out,O_MFG_REVIEW_RANCHO_yield_out,O_QFI_AUDITING_RANCHO_yield_out
523860-10,0.8690000000000001,0.9849624060150376,1.0,1.0,1.0,0.9920948616600791,0.98828125,1.0,0.9933774834437086,,1.0,1.0,0.9554140127388535,0.8866666666666667,1.0,1.0,0.9496402877697842,0.9924812030075187,1.0,1.0,0.9103448275862069,0.9937888198757764,0.9096045197740112,0.8842105263157894,0.9731543624161074,,0.8854625550660793,0.9826839826839827,0.9956896551724138,0.9626556016597511,1.0,0.9721115537848606,0.9450980392156862,1.0,0.9880952380952381,1.0,1.0,0.68,,,,,,
523288-10,0.3174,0.9791666666666666,1.0,1.0,0.9954545454545455,0.9606986899563319,1.0,0.8875968992248062,0.9873417721518988,1.0,1.0,1.0,0.9875,0.9038461538461539,1.0,1.0,0.9411764705882353,1.0,1.0,1.0,0.9166666666666666,1.0,0.9875776397515528,0.9204545454545454,0.9811320754716981,,0.88,0.9852216748768473,0.9902439024390244,0.9761904761904762,0.986013986013986,0.9726027397260274,0.9722222222222222,1.0,0.9938271604938271,1.0,1.0,0.5789473684210527,,1.0,,,,
523860-04,0.8335,0.9885057471264368,1.0,1.0,1.0,0.95625,0.9937888198757764,1.0,1.0,,1.0,1.0,0.9888888888888889,0.9775280898876404,1.0,1.0,0.9775280898876404,1.0,1.0,1.0,0.898989898989899,1.0,0.9711538461538461,0.856,0.9801980198019802,1.0,0.8928571428571429,0.9929078014184397,1.0,0.9655172413793104,0.9775280898876404,0.9607843137254902,0.9863945578231292,1.0,0.9719626168224299,1.0,1.0,0.3333333333333333,1.0,,,,,
523860-01,0.8759999999999999,0.9690721649484536,1.0,1.0,0.9962406015037594,0.9962546816479401,0.9143835616438356,1.0,0.9813084112149533,1.0,1.0,1.0,0.963963963963964,0.9047619047619048,1.0,1.0,0.9644670050761421,1.0,0.7450980392156863,1.0,0.9512195121951219,1.0,0.9951923076923077,0.954337899543379,0.9903381642512077,,0.9087136929460581,0.9958677685950413,1.0,0.9641434262948207,0.9595959595959596,0.9660377358490566,0.98046875,1.0,0.9952153110047847,1.0,1.0,0.46875,,,,,,
523288-09,0.4531,0.9777777777777777,1.0,1.0,0.9959677419354839,0.9802371541501976,0.98828125,1.0,1.0,1.0,1.0,1.0,0.985,0.9086294416243654,1.0,1.0,0.972972972972973,1.0,1.0,1.0,0.9836956521739131,1.0,0.9790575916230366,0.8863636363636364,0.9946524064171123,0.989247311827957,0.9322033898305084,0.9957805907172996,1.0,0.9752066115702479,0.988950276243094,0.9838056680161943,0.9958847736625515,1.0,0.9794871794871794,1.0,1.0,0.2,1.0,,,,,
523288-08,0.3532,0.9615384615384616,1.0,1.0,1.0,0.9792746113989638,0.9554455445544554,1.0,0.9710144927536232,1.0,1.0,1.0,0.8363636363636363,0.9402985074626866,1.0,1.0,0.9219858156028369,1.0,1.0,1.0,0.9481481481481482,1.0,0.9712230215827338,0.9025974025974026,1.0,1.0,0.9166666666666666,0.9882352941176471,1.0,0.9333333333333333,0.984375,0.9629629629629629,0.989010989010989,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,,,,,
523288-11,0.374,0.9770992366412213,1.0,1.0,0.990521327014218,0.9906103286384976,0.9861111111111112,0.9555555555555556,0.9856115107913669,1.0,1.0,1.0,0.972027972027972,0.948905109489051,1.0,1.0,0.9558823529411765,1.0,1.0,1.0,0.9705882352941176,1.0,0.9856115107913669,0.875,1.0,0.9927007299270073,0.9090909090909091,0.9887640449438202,1.0,0.946524064171123,0.9848484848484849,0.9282296650717703,0.9639175257731959,1.0,0.9928571428571429,1.0,1.0,0.45454545454545453,1.0,1.0,,,,
523288-06,0.3794,1.0,1.0,1.0,0.9888475836431226,0.9889705882352942,0.992619926199262,1.0,0.9861111111111112,1.0,1.0,1.0,0.9863013698630136,0.9061032863849765,1.0,1.0,0.9696969696969697,1.0,1.0,1.0,0.9609756097560975,1.0,0.9903846153846154,0.9504504504504504,0.9951456310679612,1.0,0.9367088607594937,0.9916317991631799,0.99581589958159,0.9446640316205533,0.9796954314720813,0.9624060150375939,0.98828125,1.0,0.985781990521327,1.0,1.0,0.72,1.0,,1.0,1.0,1.0,1.0
523860-7,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
